Source,SN,Relative RA [arcsec],Relative RA low,Relative RA up,Relative Dec [arcsec],Relative Dec low,Relative Dec up,FWHM x [arcsec],FWHM x low,FWHM x up,FWHM y [arcsec],FWHM y low,FWHM y up,Angle G [deg],Angle G low,Angle G up,Amplitude G [mJy],Amplitude G low,Amplitude G up,Amplitude S [mJy],Amplitude S low,Amplitude S up,Angle S [deg],Angle S low,Angle S up,Effective radius [arcsec],Effective radius low,Effective radius up,Ellipticity,Ellipticity low,Ellipticity up,Beam min [arcsec],Beam maj [arcsec],BIC,Flux [mJy],Flux err
AL-65.1,37.789204,0.011414868649702358,0.0005482784286179807,0.000530229590335227,0.0013783459950872236,0.000591160699444949,0.0006452828016077052,0.04192738179902024,0.012918154285886463,0.05517362722520969,0.0011710433034056611,0.0007025748302456454,0.0015518180741745846,138.2606323049394,100.56821818953475,19.837193414411217,69.97348254603867,45.25269821458368,126.32207740920182,0.0114971545428433,0.00010663120518843335,0.00011444930780648253,112.72539499098269,2.275081235768937,2.228614434080413,0.13474731001779444,0.0014895425984381705,0.0013244177547655223,0.1470416288753069,0.009597449576172923,0.009594827565937075,0.073755502700796,0.127690181136144,-8515.650821205216,15.050861215806385,0.0016807559055086187
AL115.1,13.515667,0.006465973918952387,0.0018333657819038585,0.0018299335707069016,-0.025977005921625242,0.0010713121073088923,0.0010385429930227612,0.07952109825866893,0.05498104031120167,0.028532013712911527,0.0020989659856226386,0.0015763940285167932,0.0011801350604971291,2.0450499082261677,1.0519267816659046,7.39824819978968,7.282174342035305,7.161315613363421,365.22234754065335,0.008920809165214365,0.00014563611548709145,0.0001514519545065176,179.6252728896343,0.6467214859533215,0.29050618573890574,0.1749048294777998,0.0029042345475076004,0.003014278861949937,0.3077914741018002,0.016691207603181046,0.016276248533058146,0.07381989061833599,0.127604871988308,-10416.140475929651,9.084923936637255,0.003113699018408688
AL71.1,35.081707,-0.007035367883247093,0.0008959963862613949,0.000883265312741589,0.013064028366865401,0.0007647170933040709,0.0008806049389374713,0.05802619716976362,0.043861796783166304,0.06362775656163809,0.0011055341433437074,0.0007154479910820735,0.001757267522022382,86.42979909166867,40.77763471360807,84.92161652380902,517.0013003636486,465.66444610243826,1640.9613476434715,0.017144661069700237,0.00013302993291269827,0.00013827984723606412,179.93641176469174,0.09575106441079129,0.046596157312393416,0.22493842549040882,0.0018326727316786973,0.0019654335623432995,0.15357713940250783,0.00923905145430673,0.009127130710624348,0.118548795580848,0.165217608213408,-7447.857759892637,51.48589835194336,0.0010831814559622553
AL11.1,19.958649,-0.005054180767736889,0.0011654275102755355,0.001262779826050719,0.007762355118847399,0.0018132136508454558,0.001761439118882168,0.09761687284837492,0.05609442669729283,0.050012258860299995,0.003698787924573322,0.0026660512284315163,0.06428957632143384,174.17983823443737,35.882951879200505,4.80426999569741,0.05546714849810898,0.054419051353945876,2.149935395676737,0.015157501220853305,0.0002854391803794442,0.0002626715714331533,80.27716040967233,1.1957283434648787,1.1815121640105986,0.18758004050706067,0.0032359569514358866,0.0033900270688088374,0.40395021261493425,0.013983009851458228,0.013443657531094333,0.11897450685500399,0.165108159184464,-9636.50781531531,4.244290204204947,0.0015265539861392728
AL-84.1,27.776852,-0.005399941053396201,0.0009117493207428905,0.0010339250418181052,0.028928458632544618,0.0013430814268375925,0.0013115103491239122,0.04099250382596437,0.012885877790520956,0.02032029277463474,0.0014565670006162024,0.0008356752405468647,0.001222060262140757,84.97149503023414,43.0354949175051,61.570036760512465,43.92907219171399,37.79808559761181,157.61458189429942,0.009950456569092388,0.000131609835025576,0.00011645852640990335,117.72530030741113,0.5488971270417693,0.5534831257429289,0.24300090955722198,0.0033921578957278875,0.0036566675908642765,0.49711151397256736,0.00772842450971839,0.008211948522668489,0.084663137793528,0.13722600042820798,-7376.240130697659,10.396477966244605,0.0012826460510672918
AL-75.1,50.975857,0.009577869451383728,0.000525345459077297,0.0005226823627751988,0.015741819698816467,0.0002305428632210383,0.00015495552401274468,0.0852347010220271,0.009770974601804405,0.022095306056350805,0.007097617969655234,0.0006710043100562269,0.0008344654133791575,173.76972046773625,1.4162118867840263,1.1199753128012162,1.83637913710178,1.6277640992858475,10.98975187580383,0.035929704546513785,0.00027063052477008936,0.0002778066432831683,138.84770649227082,1.2876571090122297,1.5025958466083296,0.13022426386098415,0.0010074810236805343,0.0010054309014841945,0.21647778166692577,0.008016123624364685,0.007834441234466,0.118825852870944,0.164463430643064,-8948.617675369434,7.736744820942257,0.0013046059751494867
LESS39,36.776318,0.0146765783460936,0.0009230943316040855,0.0008943858586736818,0.009810494606873669,0.0005369208609593817,0.0005400046043026463,0.08711080448140546,0.01817974066757151,0.0240479564303275,0.0038172102836538805,0.0010878001224212028,0.000838791228432492,176.88656825985498,1.3349071335230178,1.0725263338873958,4.478715552940935,4.209078215644179,89.1382918940786,0.028364539024758342,0.00027178058810487654,0.00027649387246957147,179.94379941951007,0.0922547889729799,0.042501771642207586,0.15479764726658385,0.0015146467093604399,0.0015124148456768516,0.3230969130760301,0.009188757546189807,0.009246984269014102,0.11867674440146399,0.164966508746136,-9727.818628741183,7.982659330336083,0.0013090930213157264
LESS15,33.440334,-0.01005103119407597,0.0012094578879860759,0.0011367969961150852,0.005875631084829627,0.0007381148173697472,0.000659395659129567,0.07685024431825581,0.022079500700924414,0.04927587924343742,0.0038005892343772343,0.001949858123701274,0.002078733035192794,82.73559410019612,5.0171149116048355,8.28126209363046,0.6648079429024574,0.6239860831252453,6.46959660798667,0.02712103214580814,0.00026154543588419524,0.00026017597235022255,15.738652445820485,0.43932518486209204,0.42003775169000335,0.20807510471633123,0.0022071672786505847,0.002192057647316503,0.5509779039688111,0.006000389843905274,0.0062316477124536584,0.11884826421738,0.164311826229108,-9511.737844552501,7.239904592869192,0.0016689445557797292
LESS3,22.547075,0.017707170694533494,0.0009694150953191254,0.0009570104238138533,0.01846865556163827,0.002791304655287166,0.0020026986417627686,0.07776789373594602,0.05763317224358413,0.03510713468701809,0.0032390602809098715,0.0025819636748868812,0.0036746677081789807,172.66868641782344,79.25395810962851,4.129329070950774,13.771314550993642,13.281067558290852,359.52338845790683,0.02062964375074096,0.00024271135642385186,0.0002498312651148596,112.75339398058372,0.8500132403283516,0.8259053934728229,0.23810397710832504,0.003035116636493279,0.0031143215236263955,0.41494648061765543,0.009544323324968018,0.009649186069821292,0.11852559447289199,0.16531549394130002,-9145.2820258844,13.43793213526428,0.0019778314594026403
LESS76,24.507973,0.008559985216813441,0.0013244968830576215,0.0011023388410668269,0.001912692736525125,0.0006801834927525341,0.0006950073281086066,0.06961849305022488,0.03419647290765166,0.010278444768663996,0.0006557067137581966,0.0002976865489291616,0.00034362009543590716,179.6810685468938,1.3353151319290077,0.139659582152035,481.74917389253886,236.87764787066314,2891.2938356216564,0.007666077030692147,0.0001505514308505554,0.0001801551421880352,174.29474071043066,4.101164633643265,2.916599633578869,0.12284149997131896,0.0018748012095109318,0.0019753356266848515,0.13239768154767684,0.023836476797344214,0.027470920487379563,0.0735118314624,0.12675675749777998,-9980.235297258097,65.29395445021245,0.0017121619855067732
